YEAR,APT_NAME,Departures,Arrivals,Total
2016,Madrid - Getafe,1197,1136,2333
2016,Madrid - Torrejon,885,952,1837
2016,Mahon,15512,15506,31018
2016,Malta,22210,22292,44502
2016,Manchester,96071,96083,192154
2016,Maribor,772,795,1567
2016,Marseille-Provence,48251,48030,96281
2016,Melilla,4109,4118,8227
2016,Metz-Nancy-Lorraine,2925,2959,5884
2016,Mikonos,6529,6518,13047
2016,Milan - Linate,58538,58563,117101
2016,Milan - Malpensa,83395,83375,166770
2016,Montpellier-Méditerranée,14124,14199,28323
2016,Muenster-Osnabrueck,8402,8785,17187
2016,Munich,195885,195859,391744
2016,Murcia San Javier,4107,4130,8237
2016,Málaga,61043,60990,122033
2016,Nantes-Atlantique,26595,26610,53205
2016,Naples,31429,31442,62871
2016,Nice-Côte d’Azur,69787,69762,139549
2016,Noain Pamplona,1706,1690,3396
2016,Nuremberg,24763,25021,49784
2016,Nîmes-Garons,2192,2130,4322
2016,Olsztyn-Mazury,643,647,1290
2016,Oslo - Gardermoen,122580,122513,245093
2016,Ostend-Bruges,3337,3384,6721
2016,Ostrava,3182,3177,6359
2016,Palanga,1783,1782,3565
2016,Palma - Son San Juan,149,149,298
2016,Palma de Mallorca,98722,98708,197430
2016,Paphos,7980,7967,15947
2016,Paris-Charles-de-Gaulle,239719,239480,479199
2016,Paris-Le Bourget,26364,26319,52683
2016,Paris-Orly,118787,118921,237708
2016,Pau-Pyrénées,5482,5361,10843
2016,Perpignan-Rivesaltes,4242,4265,8507
2016,Pisa San Giusto,21039,20920,41959
2016,Podgorica,5708,5707,11415
2016,Poitiers-Biard,2571,2664,5235
2016,Ponta Delgada,7969,7972,15941
2016,Porto,39350,39370,78720
2016,Porto Santo,1672,1706,3378
2016,Portorož,720,737,1457
2016,Poznan - Lawica,9198,9218,18416
2016,Prague,65974,66052,132026
2016,Quimper-Pluguffan,1275,1302,2577
2016,Radom,673,656,1329
2016,Rennes-Saint-Jacques,8777,8746,17523
2016,Reus,3457,3878,7335
2016,Riga,33858,33917,67775
2016,Rodez-Marcillac,1794,1853,3647
2016,Rodos,18698,18752,37450
2016,Rome - Ciampino,25239,25263,50502
2016,Rome - Fiumicino,156970,156966,313936
2016,Rota,2666,2631,5297
2016,Rotterdam,12862,12929,25791
2016,Rzeszow - Jasionka,3976,3986,7962
2016,Saarbruecken,4678,4761,9439
2016,Sabadell,1059,420,1479
2016,Saint-Etienne-Bouthéon,1610,1653,3263
2016,Saint-Nazaire-Montoir,1539,1584,3123
2016,Salamanca Matalan,1367,1395,2762
2016,Salzburg,13856,13897,27753
2016,San Sebastian,2640,2659,5299
2016,Santa Maria,1391,1372,2763
2016,Santander,3999,4005,8004
2016,Santiago,9960,9863,19823
2016,Santorini,7438,7448,14886
2016,Sarajevo,5305,5317,10622
2016,Sevilla,19459,19437,38896
2016,Seville - Moron,2868,2855,5723
2016,Shannon,10788,10744,21532
2016,Siauliai,881,864,1745
2016,Sion,2716,2673,5389
2016,Skiathos,2004,2029,4033
2016,Skopje,7609,7611,15220
2016,Sligo,23,29,52
2016,Sofia,25307,25294,50601
2016,Son Bonet,230,230,460
2016,Southampton,20774,20795,41569
2016,Stavanger,33825,33875,67700
2016,Stockholm - Arlanda,117256,117281,234537
2016,Stockholm - Bromma,26408,26453,52861
2016,Strasbourg-Entzheim,10817,10832,21649
2016,Stuttgart,59534,59489,119023
2016,Szczecin - Goleniów,2548,2546,5094
2016,Tallinn,18575,18564,37139
2016,Tarbes-Lourdes Pyrénées,3392,3410,6802
2016,Tartu,732,727,1459
2016,Tbilisi,11943,11882,23825
2016,Tenerife North,26220,26252,52472
2016,Tenerife Sur - Reina Sofia,32200,32178,64378
2016,Thessaloniki,26667,26703,53370
2016,Tirana,11159,11160,22319
2016,Torino Caselle,21116,21110,42226
2016,Toulouse-Blagnac,45699,45278,90977
2016,Tours-Val de Loire,1659,1674,3333
2016,Toussus-le-Noble,4820,4678,9498
2016,Treviso,8872,8867,17739
2016,Trondheim,28720,28713,57433
2016,Valencia,27651,27654,55305
2016,Valencia - Requena,51,49,100
2016,Valladolid,1454,1455,2909
2016,Venice,44982,44987,89969
2016,Ventspils,6,6,12
2016,Vienna,120888,120887,241775
2016,Vigo,4747,4796,9543
2016,Vilnius,20343,20358,40701
2016,Vitoria,3209,3207,6416
2016,Warszawa - Chopina,76963,76842,153805
2016,Warszawa - Modlin,9501,9543,19044
2016,Waterford,558,538,1096
2016,Weston,510,611,1121
2016,Wroclaw - Strachowice,12099,12096,24195
2016,Yerevan,9267,9139,18406
2016,Zagreb,19798,19820,39618
2016,Zakinthos,5480,5469,10949
2016,Zaragoza,3811,3808,7619
2016,Zielona Gora - Babimost,432,437,869
2016,Zürich,131345,131265,262610
2017,Abad,139,140,279
2017,Aberdeen,31324,31263,62587
2017,Agen-La Garenne,2335,2430,4765
2017,Ajaccio-Napoléon-Bonaparte,8742,8753,17495
2017,Aktion,2663,2777,5440
2017,Albacete,406,430,836
2017,Albert-Bray,460,473,933
2017,Alicante,47557,47576,95133
2017,Almeria,5076,5084,10160
2017,Amsterdam - Schiphol,254159,254140,508299
2017,Angers-Marcé,918,958,1876
2017,Ankara - Esenboğa,56361,56259,112620
2017,Annecy-Meythet,1538,1668,3206
2017,Annemasse,848,706,1554
2017,Antalya,76976,76941,153917
2017,Antwerp,6968,6996,13964
2017,Asturias,6143,6140,12283
2017,Athens,94898,94783,189681
2017,Avignon-Caumont,3171,3406,6577
2017,Badajoz,695,706,1401
2017,Barcelona,161771,161700,323471
2017,Bastia-Poretta,8096,8056,16152
2017,Beauvais-Tillé,11539,11538,23077
2017,Belfast - Aldergrove,24135,24109,48244
2017,Belfast - City Airport,18787,18792,37579
2017,Belgrade - Nikola Tesla,32042,32038,64080
2017,Bergamo,42907,42942,85849
2017,Bergen,41803,41850,83653
2017,Bergerac-Roumanière,2255,2303,4558
2017,Berlin - Brandenburg,49907,50215,100122
2017,Berlin - Tegel,85890,85992,171882
2017,Biarritz-Bayonne-Anglet,7264,7296,14560
2017,Biggin Hill,7773,7792,15565
2017,Bilbao,21980,22008,43988
2017,Birmingham,59579,59564,119143
2017,Bologna,35661,35599,71260
2017,Bordeaux-Mérignac,33185,33182,66367
2017,Bratislava,11084,11126,22210
2017,Bremen,14973,15101,30074
2017,Brest-Bretagne,7882,7836,15718
2017,Brindisi,8722,8733,17455
2017,Bristol,33743,34028,67771
2017,Brive-Souillac,1517,1558,3075
2017,Brno-Tuřany,5554,5577,11131
2017,Brussels,116354,116365,232719
2017,Bucharest - Băneasa,1951,1958,3909
2017,Bucharest - Otopeni,58160,58094,116254
2017,Budapest - Ferihegy,51130,51136,102266
2017,Burgos,79,85,164
2017,Bydgoszcz,1666,1670,3336
2017,Bâle-Mulhouse,39426,39374,78800
2017,Béziers-Vias,2892,2933,5825
2017,Caen-Carpiquet,2903,2964,5867
2017,Calvi-Sainte-Catherine,3140,3172,6312
2017,Cannes-Mandelieu,6954,6910,13864
2017,Carcassonne-Salvaza,2718,2784,5502
2017,Cascais,2314,2115,4429
2017,Catania,34370,34378,68748
2017,Chambéry-Aix-les-Bains,3440,3488,6928
2017,Charleroi,25562,25508,51070
2017,Chișinău,13565,13594,27159
2017,Châlons-Vatry,2126,2144,4270
2017,Châteauroux-Déols,1169,1225,2394
2017,Clermont-Ferrand-Auvergne,6370,6401,12771
2017,Cologne-Bonn,69175,69657,138832
2017,Connaught,3199,3204,6403
2017,Copenhagen - Kastrup,129611,129699,259310
2017,Cordoba,103,93,196
2017,Corfu,11122,11012,22134
2017,Cork,12639,12626,25265
2017,Deauville-Normandie,1975,2025,4000
2017,Dinard-Pleurtuit-Saint-Malo,1711,1728,3439
2017,Donegal,945,946,1891
2017,Dresden,10744,10789,21533
2017,Dublin,111153,111173,222326
2017,Dusseldorf,110488,110579,221067
2017,Dôle-Tavaux,1324,1384,2708
2017,East Midlands,33713,33779,67492
2017,Edinburgh,63639,63629,127268
2017,Erfurt,2882,2967,5849
2017,Farnborough,12897,12892,25789
2017,Faro,29597,29615,59212
2017,Figari-Sud Corse,5366,5396,10762
2017,Flores,784,790,1574
2017,Frankfurt,237747,237788,475535
2017,Fuerteventura,23540,23549,47089
2017,Gdansk,20095,20106,40201
2017,Geneva,91811,91780,183591
2017,Gerona,7606,7942,15548
2017,Glasgow,47639,47512,95151
2017,Gran Canaria,57961,57829,115790
2017,Granada,4523,4530,9053
2017,Graz,9504,9542,19046
2017,Grenoble-Isère,3498,3536,7034
2017,Groningen,4736,4816,9552
2017,Göteborg,36308,36328,72636
2017,Hamburg,77171,77307,154478
2017,Hanover,31172,31267,62439
2017,Haugesund,3075,3077,6152
2017,Helsinki - Vantaa,88305,88692,176997
2017,Heraklion,26936,26936,53872
2017,Hierro,1891,1922,3813
2017,Horta,2288,2283,4571
2017,Hyères-Le Palyvestre,5583,5560,11143
2017,Ibiza,36664,36672,73336
2017,Innsbruck,9658,9680,19338
2017,Istanbul Atatürk,225522,225559,451081
2017,Istanbul Sabiha Gökçen,107036,107108,214144
2017,Istres-Le Tubé,1298,1272,2570
2017,Izmir - Adnan Menderes,41422,41393,82815
2017,Jerez De La Frontera,7568,7574,15142
2017,Karlovy Vary,830,881,1711
2017,Katowice - Pyrzowice,15870,15895,31765
2017,Kaunas,5621,5634,11255
2017,Kefallinia,2838,2880,5718
2017,Kerry - Farranfore,2065,2074,4139
2017,Khania - Souda,12997,13024,26021
2017,Kiev - Boryspil,43784,43809,87593
2017,Klagenfurt,3722,3707,7429
2017,Kos,8743,8732,17475
2017,Krakow - Balice,24837,24867,49704
2017,La Coruna,5625,5676,11301
2017,La Gomera,746,740,1486
2017,La Palma,8531,8544,17075
2017,La Rochelle-Ile de Ré,2399,2472,4871
2017,Lannion,628,640,1268
2017,Lanzarote,28997,29007,58004
2017,Larnaca,31010,31002,62012
2017,Le Havre-Octeville,462,480,942
2017,Le Mans,749,783,1532
2017,Leipzig-Halle,33022,33053,66075
2017,Leon,492,617,1109
2017,Liepaja,115,116,231
2017,Lille-Lesquin,12149,12116,24265
2017,Limoges-Bellegarde,3417,3430,6847
2017,Linz,6015,6075,12090
2017,Lisbon,101640,101787,203427
2017,Liège,16251,16234,32485
2017,Ljubljana,15111,15121,30232
2017,Lleida - Alguaire,252,265,517
2017,Lodz - Lublinek,1979,1980,3959
2017,Logrono,356,361,717
2017,London - City,40180,40202,80382
2017,London - Gatwick,142981,142964,285945
2017,London - Heathrow,237957,238006,475963
2017,London - Luton,67544,67539,135083
2017,London - Stansted,94080,94076,188156
2017,Londonderry - Eglinton,1133,1135,2268
2017,Lorient-Lann Bihoué,3024,2991,6015
2017,Lublin,2005,2006,4011
2017,Luxembourg,35299,35368,70667
2017,Lučko,339,297,636
2017,Lyon-Bron,4586,4624,9210
2017,Lyon-Saint-Exupéry,56185,56146,112331
2017,Maastricht-Aachen,4246,4268,8514
2017,Madeira,12682,12732,25414
2017,Madrid - Barajas,193818,193699,387517
2017,Madrid - Cuatro Viento,1319,1231,2550
2017,Madrid - Getafe,736,745,1481
2017,Madrid - Torrejon,880,966,1846
2017,Mahon,15017,15007,30024
2017,Malta,25410,25379,50789
2017,Manchester,101814,101807,203621
2017,Maribor,1003,1033,2036
2017,Marseille-Provence,48777,48696,97473
2017,Melilla,3693,3695,7388
2017,Metz-Nancy-Lorraine,3124,3129,6253
2017,Mikonos,7044,7034,14078
2017,Milan - Linate,58040,58026,116066
2017,Milan - Malpensa,89421,89413,178834
2017,Montpellier-Méditerranée,15297,15431,30728
2017,Muenster-Osnabrueck,9240,9586,18826
2017,Munich,200953,200896,401849
2017,Murcia San Javier,4318,4336,8654
2017,Málaga,67425,67392,134817
2017,Nantes-Atlantique,28827,28840,57667
2017,Naples,37053,37060,74113
2017,Nice-Côte d’Azur,71337,71286,142623
2017,Noain Pamplona,1772,1765,3537
2017,Nuremberg,26550,26845,53395
2017,Nîmes-Garons,2246,2126,4372
2017,Olsztyn-Mazury,647,647,1294
2017,Oslo - Gardermoen,125611,125582,251193
2017,Ostend-Bruges,3236,3254,6490
2017,Ostrava,3321,3342,6663
2017,Palanga,2042,2038,4080
2017,Palma - Son San Juan,149,153,302
2017,Palma de Mallorca,104339,104355,208694
2017,Paphos,8495,8499,16994
2017,Paris-Charles-de-Gaulle,241402,241276,482678
2017,Paris-Le Bourget,26996,26959,53955
2017,Paris-Orly,116001,116138,232139
2017,Pau-Pyrénées,5874,5824,11698
2017,Perpignan-Rivesaltes,4438,4453,8891
2017,Pisa San Giusto,21587,21448,43035
2017,Podgorica,6460,6454,12914
2017,Poitiers-Biard,2628,2713,5341
2017,Ponta Delgada,9726,9716,19442
2017,Porto,43349,43369,86718
2017,Porto Santo,1772,1781,3553
2017,Portorož,776,808,1584
2017,Poznan - Lawica,9704,9740,19444
2017,Prague,71953,72060,144013
2017,Quimper-Pluguffan,1232,1256,2488
2017,Radom,574,568,1142
2017,Rennes-Saint-Jacques,9313,9308,18621
2017,Reus,4022,4285,8307
2017,Riga,37226,37256,74482
2017,Rodez-Marcillac,2012,2096,4108
2017,Rodos,18811,18824,37635
2017,Rome - Ciampino,26360,26324,52684
2017,Rome - Fiumicino,148712,148683,297395
2017,Rota,2909,2833,5742
2017,Rotterdam,11461,11521,22982
2017,Rzeszow - Jasionka,4091,4085,8176
2017,Saarbruecken,4417,4480,8897
2017,Sabadell,1038,432,1470
2017,Saint-Etienne-Bouthéon,1202,1236,2438
2017,Saint-Nazaire-Montoir,1454,1508,2962
2017,Salamanca Matalan,1712,1732,3444
2017,Salzburg,14917,14971,29888
2017,San Sebastian,2844,2864,5708
2017,Santa Maria,1336,1330,2666
2017,Santander,4577,4588,9165
2017,Santiago,10112,10034,20146
2017,Santorini,8410,8401,16811
2017,Sarajevo,5927,5933,11860
2017,Sevilla,20742,20725,41467
2017,Seville - Moron,2364,2320,4684
2017,Shannon,10859,10862,21721
2017,Siauliai,995,996,1991
2017,Sion,2979,2957,5936
2017,Skiathos,2093,2106,4199
2017,Skopje,8194,8210,16404
2017,Sligo,15,17,32
2017,Sofia,28382,28392,56774
2017,Son Bonet,221,210,431
2017,Southampton,21703,21721,43424
2017,Stavanger,31872,31949,63821
2017,Stockholm - Arlanda,124421,124444,248865
2017,Stockholm - Bromma,26624,26635,53259
2017,Strasbourg-Entzheim,11244,11268,22512
2017,Stuttgart,59009,58984,117993
2017,Szczecin - Goleniów,2899,2909,5808
2017,Tallinn,20848,20841,41689
2017,Tarbes-Lourdes Pyrénées,3504,3508,7012
2017,Tartu,840,846,1686
2017,Tbilisi,16110,16110,32220
2017,Tenerife North,29073,29072,58145
2017,Tenerife Sur - Reina Sofia,34252,34216,68468
2017,Thessaloniki,27516,27642,55158
2017,Tirana,12275,12284,24559
2017,Torino Caselle,21939,21914,43853
2017,Toulouse-Blagnac,49691,49300,98991
2017,Tours-Val de Loire,1586,1609,3195
2017,Toussus-le-Noble,5004,4910,9914
2017,Treviso,9850,9856,19706
2017,Trondheim,28312,28282,56594
2017,Valencia,30575,30571,61146
2017,Valencia - Requena,12,10,22
2017,Valladolid,1333,1373,2706
2017,Venice,46076,46071,92147
2017,Ventspils,6,5,11
2017,Vienna,120044,120051,240095
2017,Vigo,5198,5248,10446
2017,Vilnius,19329,19336,38665
2017,Vitoria,3744,3752,7496
2017,Warszawa - Chopina,85603,85456,171059
2017,Warszawa - Modlin,9376,9460,18836
2017,Waterford,215,218,433
2017,Weston,576,588,1164
2017,Wroclaw - Strachowice,13299,13306,26605
2017,Yerevan,10620,10590,21210
2017,Zagreb,20521,20537,41058
2017,Zakinthos,6182,6167,12349
2017,Zaragoza,3936,3920,7856
2017,Zielona Gora - Babimost,403,408,811
2017,Zürich,131822,131727,263549
2018,Abad,147,146,293
2018,Aberdeen,28221,28115,56336
2018,Agen-La Garenne,2154,2241,4395
2018,Ajaccio-Napoléon-Bonaparte,9008,9011,18019
2018,Aktion,2744,2804,5548
2018,Al Massira,8310,8290,16600
2018,Albacete,327,340,667
2018,Albert-Bray,511,523,1034
2018,Alesund,7270,7280,14550
2018,Alicante,48287,48274,96561
2018,Almeria,4911,4923,9834
2018,Alta,4275,4283,8558
2018,Amsterdam - Schiphol,255694,255627,511321
2018,Andenes,2176,2163,4339
2018,Angers-Marcé,837,886,1723
2018,Ankara - Esenboğa,57194,57120,114314
2018,Annecy-Meythet,1486,1655,3141
2018,Annemasse,824,684,1508
2018,Antalya,93058,93073,186131
2018,Antwerp,7569,7601,15170
2018,Asturias,5812,5810,11622
2018,Athens,105621,105763,211384
2018,Avignon-Caumont,3011,3370,6381
2018,Badajoz,800,811,1611
2018,Barcelona,167833,167801,335634
2018,Bardufoss,1835,1831,3666
2018,Bastia-Poretta,8510,8499,17009
2018,Batsfjord,1122,1114,2236
2018,Beauvais-Tillé,11883,11874,23757
2018,Belfast - Aldergrove,25448,25433,50881
2018,Belfast - City Airport,18072,18072,36144
2018,Belgrade - Nikola Tesla,33219,33247,66466
2018,Ben Gurion International,78146,78280,156426
2018,Bergamo,44691,44685,89376
2018,Bergen,42684,42759,85443
2018,Bergerac-Roumanière,2063,2086,4149
2018,Berlevåg,806,807,1613
2018,Berlin - Brandenburg,50393,50661,101054
2018,Berlin - Tegel,92600,92709,185309
2018,Biarritz-Bayonne-Anglet,6915,6978,13893
2018,Biggin Hill,8703,8668,17371
2018,Bilbao,23576,23592,47168
2018,Birmingham,55093,54983,110076
2018,Bodø,19675,19652,39327
2018,Bologna,35713,35701,71414
2018,Bordeaux-Mérignac,34776,34701,69477
2018,Bratislava,11941,11965,23906
2018,Bremen,15471,15566,31037
2018,Brest-Bretagne,8146,8105,16251
2018,Brindisi,9294,9314,18608
2018,Bristol,34969,35168,70137
2018,Brive-Souillac,1512,1541,3053
2018,Brno-Tuřany,5063,5073,10136
2018,Bronnoysund Bronnoy,3576,3586,7162
2018,Brussels,114961,114996,229957
2018,Bucharest - Băneasa,2418,2410,4828
2018,Bucharest - Otopeni,61330,61256,122586
2018,Budapest - Ferihegy,57264,57210,114474
2018,Burgos,148,154,302
2018,Bydgoszcz,2082,2086,4168
2018,Bâle-Mulhouse,40940,40926,81866
2018,Béziers-Vias,3238,3320,6558
2018,Caen-Carpiquet,3533,3613,7146
2018,Calvi-Sainte-Catherine,3085,3103,6188
2018,Cannes-Mandelieu,6903,6900,13803
2018,Carcassonne-Salvaza,2759,2853,5612
2018,Cascais,2481,2433,4914
2018,Catania,37020,37044,74064
2018,Chambéry-Aix-les-Bains,3452,3510,6962
2018,Charleroi,26738,26695,53433
2018,Chișinău,14005,14028,28033
2018,Châlons-Vatry,1684,1705,3389
2018,Châteauroux-Déols,1325,1385,2710
2018,Clermont-Ferrand-Auvergne,6027,6067,12094
2018,Cologne-Bonn,70721,71270,141991
2018,Connaught,3294,3313,6607
2018,Copenhagen - Kastrup,133047,133160,266207
2018,Cordoba,107,105,212
2018,Corfu,13068,13028,26096
2018,Cork,12345,12351,24696
2018,Deauville-Normandie,1791,1845,3636
2018,Dinard-Pleurtuit-Saint-Malo,1482,1539,3021
2018,Donegal,937,940,1877
2018,Dresden,11061,11127,22188
2018,Dublin,116180,116234,232414
2018,Dusseldorf,109163,109228,218391
2018,Dôle-Tavaux,1328,1358,2686
2018,East Midlands,34521,34492,69013
2018,Edinburgh,64778,64747,129525
2018,Erfurt,2804,2934,5738
2018,Farnborough,14788,14715,29503
2018,Faro,29588,29584,59172
2018,Figari-Sud Corse,5386,5429,10815
2018,Flores,846,849,1695
2018,Florø,3966,3958,7924
2018,Forde Bringeland,1994,1999,3993
2018,Frankfurt,256008,256091,512099
2018,Fuerteventura,25296,25290,50586
2018,Gdansk,21548,21583,43131
2018,Geneva,90125,90096,180221
2018,Gerona,7852,8186,16038
2018,Glasgow,45348,45275,90623
2018,Gran Canaria,63985,63880,127865
2018,Granada,5367,5388,10755
2018,Graz,9551,9562,19113
2018,Grenoble-Isère,3654,3716,7370
2018,Groningen,5620,5708,11328
2018,Göteborg,36239,36249,72488
2018,Hamburg,74601,74737,149338
2018,Hammerfest,5591,5616,11207
2018,Hanover,32914,32994,65908
2018,Harstad - Narvik Evenes,5000,5007,10007
2018,Haugesund,3062,3077,6139
2018,Helsinki - Vantaa,96245,96249,192494
2018,Heraklion,29768,29761,59529
2018,Hierro,2308,2339,4647
2018,Honningsvåg Valan,998,1018,2016
2018,Horta,2282,2271,4553
2018,Hyères-Le Palyvestre,6039,6060,12099
2018,Ibiza,37506,37511,75017
2018,Ibn Batouta,5816,5825,11641
2018,Innsbruck,9648,9673,19321
2018,Istanbul Atatürk,228087,228197,456284
